"genus","n_species","n_entries","taxon_id","phylo_info_1","phylo_info_2","phylo_info_3","phylo_info_4","phylo_info_5","phylo_info_6","phylo_info_7","phylo_info_8","phylo_info_9","phylo_info_10","phylo_info_11","phylo_info_12","phylo_info_13","phylo_info_14","phylo_info_15","phylo_info_16","phylo_info_17","phylo_lineage"
"Cyphomyrmex",1,1,456900,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Hymenoptera","Apocrita",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Hymenoptera; Apocrita"
"Danaus",1,1,13037,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Lepidoptera","Glossata","Ditrysia","Papilionoidea","Nymphalidae","Danainae","Danaini","Danaina","Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Nymphalidae; Danainae; Danaini; Danaina"
"Dendroctonus",1,1,77166,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Coleoptera; Polyphaga"
"Diabrotica",1,1,50387,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Cucujiformia","Chrysomeloidea","Chrysomelidae","Galerucinae",NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Coleoptera; Polyphaga; Cucujiformia; Chrysomeloidea; Chrysomelidae; Galerucinae"
"Diachasma",1,1,454923,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Hymenoptera","Apocrita",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Hymenoptera; Apocrita"
"Diorhabda",1,1,1163346,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Cucujiformia","Chrysomeloidea","Chrysomelidae","Galerucinae","Atysites",NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Coleoptera; Polyphaga; Cucujiformia; Chrysomeloidea; Chrysomelidae; Galerucinae; Atysites"
"Diprion",1,1,362088,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Hymenoptera","Tenthredinoidea",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Hymenoptera; Tenthredinoidea"
"Egretta",1,1,188379,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Archelosauria","Archosauria","Dinosauria","Saurischia","Theropoda","Coelurosauria","Aves","Neognathae","Neoaves","Aequornithes",NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Aequornithes"
"Epargyreus",1,1,520877,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Lepidoptera","Glossata","Ditrysia","Hesperioidea","Hesperiidae","Eudaminae","Eudamini",NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Hesperioidea; Hesperiidae; Eudaminae; Eudamini"
"Eumeta",1,1,151549,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Lepidoptera","Glossata",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata"
